Sample Number,DateTime GMT,Latitude,Longitude,Altitude_mASL,NumSats,GPSLevel,RC Connected,Fix,OffsetSeconds,DateTime UTC
3275673056,<nil>,0.0000000,0.1818781,-24.16,<nil>,5,<nil>,true,655,<nil>
218648409,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,43,<nil>
3113963340,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,622,<nil>
1338396505,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,267,<nil>
244731736,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,48,<nil>
2294566744,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,458,<nil>
4290170336,<nil>,-0.0008839,-0.0000053,<nil>,<nil>,5,<nil>,true,858,<nil>
588580528,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,117,<nil>
1564397024,<nil>,0.0000000,0.1818781,-24.16,<nil>,5,<nil>,true,312,<nil>
2532986712,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,506,<nil>
895504217,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,179,<nil>
473353696,<nil>,0.0017639,0.0000027,<nil>,<nil>,5,<nil>,true,94,<nil>
3581431653,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,716,<nil>
1837780812,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,367,<nil>
4066266969,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,813,<nil>
2554744665,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,510,<nil>
157765465,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,31,<nil>
2497793881,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,499,<nil>
1589454696,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,317,<nil>
3609546573,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,721,<nil>
2302365541,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,460,<nil>
1007177251,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,201,<nil>
2713258193,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,542,<nil>
4181446112,<nil>,0.0000279,0.0029180,<nil>,<nil>,5,<nil>,true,836,<nil>
677597005,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,135,<nil>
3164819277,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,632,<nil>
1369591641,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,273,<nil>
296749072,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,59,<nil>
2613399384,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,522,<nil>
379342669,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,75,<nil>
3150466904,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,630,<nil>
1048661848,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,209,<nil>
4145874960,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,829,<nil>
2315800408,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,463,<nil>
338742752,<nil>,0.0274897,0.0000000,<nil>,<nil>,5,<nil>,true,67,<nil>
660623192,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,132,<nil>
3362193610,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,672,<nil>
859622880,<nil>,0.0000000,0.0112448,-390.47,<nil>,5,<nil>,true,171,<nil>
1026099240,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,205,<nil>
2419707360,<nil>,0.0000017,0.0001805,<nil>,<nil>,5,<nil>,true,483,<nil>
3309129572,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,661,<nil>
1455443801,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,291,<nil>
4236398425,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,847,<nil>
3392523744,<nil>,0.0004353,0.0000007,<nil>,<nil>,5,<nil>,true,678,<nil>
2474528612,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,494,<nil>
893013848,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,178,<nil>
3100856141,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,620,<nil>
1430081368,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,286,<nil>
3906359116,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,781,<nil>
2439980902,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,487,<nil>
741887832,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,148,<nil>
3234549592,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,646,<nil>
1852769257,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,370,<nil>
3630106665,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,726,<nil>
1531006797,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,306,<nil>
4018229069,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,803,<nil>
2223656793,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,444,<nil>
823217996,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,164,<nil>
3761327960,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,752,<nil>
1686327129,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,337,<nil>
3733409625,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,746,<nil>
1767264077,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,353,<nil>
378097484,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,75,<nil>
3034206029,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,606,<nil>
1951747928,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,390,<nil>
3842395980,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,768,<nil>
2350534181,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,470,<nil>
228872012,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,45,<nil>
2893565785,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,578,<nil>
1216106328,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,243,<nil>
3985198924,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,797,<nil>
1904037709,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,380,<nil>
183127935,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,36,<nil>
2307411801,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,461,<nil>
352669529,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,70,<nil>
2952810316,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,590,<nil>
1179864921,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,235,<nil>
73355084,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,14,<nil>
2667008021,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,533,<nil>
377882286,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,75,<nil>
2851342352,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,570,<nil>
3241987552,<nil>,0.0000000,0.0112448,-390.47,<nil>,5,<nil>,true,648,<nil>
738611033,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,147,<nil>
3223736153,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,644,<nil>
1824608076,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,364,<nil>
4040838989,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,808,<nil>
2529120077,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,505,<nil>
132599629,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,26,<nil>
2756005720,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,551,<nil>
1164660581,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,232,<nil>
3731509080,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,746,<nil>
2093567833,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,418,<nil>
282939225,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,56,<nil>
2696171391,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,539,<nil>
380915545,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,76,<nil>
3288354648,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,657,<nil>
1760710476,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,352,<nil>
783338976,<nil>,-0.0137755,-0.0000000,<nil>,<nil>,5,<nil>,true,156,<nil>
3696316249,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,739,<nil>
2231717733,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,446,<nil>
3963407840,<nil>,0.0000000,0.0113669,-390.47,<nil>,5,<nil>,true,792,<nil>
796675928,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,159,<nil>
2682015564,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,536,<nil>
4105883104,<nil>,-0.0000035,-0.0014551,3163.67,<nil>,5,<nil>,true,821,<nil>
728452940,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,145,<nil>
3529985869,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,705,<nil>
1851608908,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,370,<nil>
79581017,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,15,<nil>
2857127769,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,571,<nil>
896356173,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,179,<nil>
2647805773,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,529,<nil>
1639448573,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,327,<nil>
3759755096,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,751,<nil>
1963020109,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,392,<nil>
449269581,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,89,<nil>
2243677664,<nil>,-0.0000140,-0.0058512,786.93,<nil>,5,<nil>,true,448,<nil>
3064155980,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,612,<nil>
1401161392,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,280,<nil>
2788347360,<nil>,0.4437312,0.0000000,<nil>,<nil>,5,<nil>,true,557,<nil>
3233566564,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,646,<nil>
1945194328,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,389,<nil>
4018818905,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,803,<nil>
2913357644,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,582,<nil>
967135064,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,193,<nil>
3040497497,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,608,<nil>
914640728,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,182,<nil>
3281538905,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,656,<nil>
1957515108,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,391,<nil>
8933221,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1,<nil>
2865712984,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,573,<nil>
1312360584,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,262,<nil>
3486338943,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,697,<nil>
1028411225,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,205,<nil>
3934211928,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,786,<nil>
2420789080,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,484,<nil>
1589038560,<nil>,-0.0008839,-0.0000053,<nil>,<nil>,5,<nil>,true,317,<nil>
681070436,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,136,<nil>
3224554976,<nil>,0.4437300,0.0000000,<nil>,<nil>,5,<nil>,true,644,<nil>
3103739736,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,620,<nil>
129945056,<nil>,-0.0000000,-0.3647365,12.11,<nil>,5,<nil>,true,25,<nil>
2144995547,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,428,<nil>
3694317024,<nil>,0.4437301,0.0000000,<nil>,<nil>,5,<nil>,true,738,<nil>
376263076,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,75,<nil>
1342918477,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,268,<nil>
4040249194,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,808,<nil>
4250207209,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,850,<nil>
3657715532,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,731,<nil>
1998344012,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,399,<nil>
1077399008,<nil>,0.0070254,0.0000107,<nil>,<nil>,5,<nil>,true,215,<nil>
1382371160,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,276,<nil>
2917879628,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,583,<nil>
1724272461,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,344,<nil>
716853098,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,143,<nil>
3573436248,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,714,<nil>
3022128814,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,604,<nil>
1569541964,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,313,<nil>
4217589592,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,843,<nil>
3124153824,<nil>,0.0017640,0.0000027,<nil>,<nil>,5,<nil>,true,624,<nil>
2875608921,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,575,<nil>
429870925,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,85,<nil>
2915848013,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,583,<nil>
2544946656,<nil>,-0.0137755,-0.0000000,<nil>,<nil>,5,<nil>,true,508,<nil>
1393708888,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,278,<nil>
4041559885,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,808,<nil>
2891065189,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,578,<nil>
343297898,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,68,<nil>
3515305817,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,703,<nil>
4122136032,<nil>,-0.2223528,-0.0000000,<nil>,<nil>,5,<nil>,true,824,<nil>
2862174040,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,572,<nil>
1129795429,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,225,<nil>
299305056,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,59,<nil>
3952496472,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,790,<nil>
2310295385,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,462,<nil>
1958498136,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,391,<nil>
1167413080,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,233,<nil>
457396068,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,91,<nil>
3628748621,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,725,<nil>
2111786829,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,422,<nil>
888491864,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,177,<nil>
2957201241,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,591,<nil>
670322521,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,134,<nil>
1811042325,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,362,<nil>
3598256169,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,719,<nil>
1501843776,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,300,<nil>
2183001,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>
2540982122,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,508,<nil>
1103515480,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,220,<nil>
3461566297,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,692,<nil>
1790332788,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,358,<nil>
4000730969,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,800,<nil>
2034650957,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,406,<nil>
498487116,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,99,<nil>
3870477792,<nil>,-0.2223524,-0.0000000,<nil>,<nil>,5,<nil>,true,774,<nil>
3153809229,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,630,<nil>
2061127500,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,412,<nil>
103927264,<nil>,0.1094739,0.0000000,<nil>,<nil>,5,<nil>,true,20,<nil>
3815329612,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,763,<nil>
2357546533,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,471,<nil>
3300838880,<nil>,-0.0000000,-0.3647365,12.11,<nil>,5,<nil>,true,660,<nil>
53956428,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,10,<nil>
2719502169,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,543,<nil>
1041452888,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,208,<nil>
3530051416,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,706,<nil>
1730039629,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,346,<nil>
86789977,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,17,<nil>
2017381856,<nil>,0.0000000,0.1818781,-24.16,<nil>,5,<nil>,true,403,<nil>
2121224013,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,424,<nil>
165760845,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,33,<nil>
548589024,<nil>,-0.2223522,-0.0000000,<nil>,<nil>,5,<nil>,true,109,<nil>
3271829349,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,654,<nil>
1568362328,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,313,<nil>
4061089624,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,812,<nil>
2596078569,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,519,<nil>
99635045,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,19,<nil>
2413252452,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,482,<nil>
549539661,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,109,<nil>
3050327897,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,610,<nil>
1974339600,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,394,<nil>
281497420,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,56,<nil>
2368425817,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,473,<nil>
289328608,<nil>,0.0000000,0.1818781,-24.16,<nil>,5,<nil>,true,57,<nil>
670846796,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,134,<nil>
2581155672,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,516,<nil>
1075269453,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,215,<nil>
3544862540,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,708,<nil>
2054901581,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,410,<nil>
108351321,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,21,<nil>
976604640,<nil>,0.0004353,0.0000007,<nil>,<nil>,5,<nil>,true,195,<nil>
2662402256,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,532,<nil>
205541209,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,41,<nil>
3247918924,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,649,<nil>
3065105888,<nil>,-0.0548580,-0.0000000,<nil>,<nil>,5,<nil>,true,613,<nil>
1745243992,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,349,<nil>
3668070233,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,733,<nil>
2201440101,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,440,<nil>
621760344,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,124,<nil>
2667007832,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,533,<nil>
848777036,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,169,<nil>
3513667417,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,702,<nil>
1836535640,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,367,<nil>
